payload_size slaves_processing message_id half_rtt_ms
1000000 none 0 1240.31
1000000 none 6 1420.51
1000000 none 7 1580.56
1000000 none 6 139.633
1000000 none 0 284.316
1000000 none 8 411.075
1000000 none 3 591.739
1000000 none 2 765.102
1000000 none 5 922.696
1000000 none 1 1066.56
1000000 none 4 1241.7
1000000 none 7 1388.67
1000000 none 9 1559.02
1000000 none 8 139.056
1000000 none 3 282.058
1000000 none 0 434.745
1000000 none 1 602.049
1000000 none 5 773.792
1000000 none 9 951.104
1000000 none 4 1126.18
1000000 none 2 1308.73
1000000 none 7 1502.02
1000000 none 6 1672.31
1000000 none 0 113.881
1000000 none 6 271.964
1000000 none 8 371.437
1000000 none 4 513.154
1000000 none 1 677.059
1000000 none 3 817.995
1000000 none 7 985.84
1000000 none 2 1167.41
1000000 none 5 1335
1000000 none 9 1514.1
1000000 none 8 144.122
1000000 none 0 293.369
1000000 none 1 467.296
1000000 none 5 617.201
1000000 none 7 766.164
1000000 none 6 936.512
1000000 none 3 1120.46
1000000 none 9 1270.46
1000000 none 4 1441.17
1000000 none 2 1614.44
1000000 none 0 115.151
1000000 none 6 295.283
1000000 none 8 418.164
1000000 none 7 583.334
1000000 none 4 721.234
1000000 none 2 910.692
1000000 none 9 1099.45
1000000 none 1 1276.34
1000000 none 3 1452.27
1000000 none 5 1626.55
1000000 none 7 107.98
1000000 none 1 283.896
1000000 none 3 459.911
1000000 none 2 606.39
1000000 none 4 739.032
1000000 none 5 929.585
1000000 none 0 1068.39
1000000 none 6 1236.07
1000000 none 8 1378.67
1000000 none 9 1556.06
1000000 none 0 134.046
1000000 none 1 306.037
1000000 none 2 451.479
1000000 none 5 637.993
1000000 none 8 744.46
1000000 none 9 906.863
1000000 none 3 1060.87
1000000 none 4 1206.12
1000000 none 6 1335.12
1000000 none 7 1500.38
1000000 none 2 108.622
1000000 none 3 280.076
1000000 none 6 460.116
1000000 none 0 599.828
1000000 none 9 749.068
1000000 none 4 896.07
1000000 none 5 1092.07
1000000 none 7 1264.34
1000000 none 8 1397.17
1000000 none 1 1548.67
1000000 none 8 172.581
1000000 none 0 329.618
1000000 none 5 499.553
1000000 none 4 665.013
1000000 none 1 817.537
1000000 none 2 981.596
1000000 none 3 1172.84
1000000 none 7 1362.37
1000000 none 9 1542.66
1000000 none 6 1720.68
5000000 none 0 620.053
5000000 none 9 1202.64
5000000 none 3 1862.79
5000000 none 1 2535.64
5000000 none 2 3190.25
5000000 none 5 3729.27
5000000 none 8 4252.72
5000000 none 7 4902.2
5000000 none 6 5542.03
5000000 none 4 6198.2
5000000 none 2 475.144
5000000 none 8 902.574
5000000 none 9 1507.81
5000000 none 0 2025.63
5000000 none 6 2610.84
5000000 none 1 3266.16
5000000 none 4 3841.38
5000000 none 5 4494.07
5000000 none 7 5133.55
5000000 none 3 5785.1
5000000 none 9 623.529
5000000 none 0 1231.92
5000000 none 5 1799.06
5000000 none 6 2398.91
5000000 none 3 3087.62
5000000 none 2 3638.49
5000000 none 4 4224.65
5000000 none 8 4719.12
5000000 none 7 5296.64
5000000 none 1 5982.9
5000000 none 2 623.974
5000000 none 4 1217.54
5000000 none 0 1866.14
5000000 none 1 2519.16
5000000 none 8 3077.58
5000000 none 7 3630.77
5000000 none 3 4192.07
5000000 none 6 4869.77
5000000 none 9 5449.64
5000000 none 5 6106.68
5000000 none 8 596.949
5000000 none 1 1177.25
5000000 none 2 1847.59
5000000 none 0 2452.19
5000000 none 5 3140.83
5000000 none 3 3793.73
5000000 none 9 4378.07
5000000 none 6 5059.41
5000000 none 7 5630.56
5000000 none 4 6188.81
5000000 none 2 624.833
5000000 none 8 1266.29
5000000 none 0 1897.5
5000000 none 6 2510.49
5000000 none 5 3095.09
5000000 none 3 3740.3
5000000 none 4 4374.78
5000000 none 7 4950.66
5000000 none 1 5598.25
5000000 none 9 6279.07
5000000 none 8 608.617
5000000 none 1 1273.01
5000000 none 5 1934.25
5000000 none 0 2510.81
5000000 none 4 3046.87
5000000 none 3 3703.73
5000000 none 2 4338.19
5000000 none 6 5002.99
5000000 none 9 5689.79
5000000 none 7 6335.38
5000000 none 0 526.015
5000000 none 7 1175.31
5000000 none 8 1795.55
5000000 none 9 2439.66
5000000 none 1 3067.47
5000000 none 3 3674.5
5000000 none 6 4340.62
5000000 none 2 5007.11
5000000 none 4 5648.5
5000000 none 5 6293.72
5000000 none 1 654.938
5000000 none 0 1319.31
5000000 none 5 2018.16
5000000 none 2 2644.91
5000000 none 7 3229.77
5000000 none 3 3777.08
5000000 none 9 4472.1
5000000 none 8 5151.98
5000000 none 4 5795.01
5000000 none 6 6428.57
5000000 none 0 503.875
5000000 none 2 1011.41
5000000 none 1 1687.31
5000000 none 4 2241.42
5000000 none 6 2927.15
5000000 none 7 3474.03
5000000 none 8 3985.09
5000000 none 3 4622.59
5000000 none 9 5179.55
5000000 none 5 5830.43
10000000 none 2 1139.14
10000000 none 0 2346.75
10000000 none 5 3561.37
10000000 none 6 4731.1
