payload_size delay num_messages message_id arrival_rank rtt_ms
8000000 constant 1 0 0 1854.22
8000000 constant 1 0 0 2018.88
8000000 constant 1 0 0 1896.41
8000000 constant 1 0 0 2002.73
8000000 constant 1 0 0 1667.12
8000000 constant 1 0 0 1859.13
8000000 constant 1 0 0 1998.06
8000000 constant 1 0 0 2023.54
8000000 constant 1 0 0 1755.96
15000000 constant 1 0 0 3675.32
15000000 constant 1 0 0 3571.26
15000000 constant 1 0 0 3479.73
15000000 constant 1 0 0 3337.74
15000000 constant 1 0 0 3111.67
15000000 constant 1 0 0 2864.38
15000000 constant 1 0 0 3540.43
15000000 constant 1 0 0 3695.96
15000000 constant 1 0 0 2946.92
15000000 constant 1 0 0 3573.07
15000000 constant 1 0 0 3686.98
15000000 constant 1 0 0 3438.4
15000000 constant 1 0 0 3751.6
15000000 constant 1 0 0 3342.64
15000000 constant 1 0 0 3604.22
15000000 constant 1 0 0 3577.95
15000000 constant 1 0 0 3386.22
15000000 constant 1 0 0 3493.33
15000000 constant 1 0 0 3676.3
15000000 constant 1 0 0 3747.83
15000000 constant 1 0 0 3493.77
15000000 constant 1 0 0 3552.69
15000000 constant 1 0 0 3647.69
15000000 constant 1 0 0 3247.51
15000000 constant 1 0 0 3664.22
15000000 constant 1 0 0 3521.5
15000000 constant 1 0 0 3100.89
15000000 constant 1 0 0 3618.05
15000000 constant 1 0 0 3693.26
15000000 constant 1 0 0 3689.48
20000000 constant 1 0 0 4601.68
20000000 constant 1 0 0 5053.4
20000000 constant 1 0 0 4821.39
20000000 constant 1 0 0 4938.25
20000000 constant 1 0 0 4662.94
20000000 constant 1 0 0 4727.29
20000000 constant 1 0 0 4952.43
20000000 constant 1 0 0 4784.26
20000000 constant 1 0 0 4937.04
20000000 constant 1 0 0 4578.72
20000000 constant 1 0 0 4897.48
20000000 constant 1 0 0 4793.3
20000000 constant 1 0 0 4874.28
20000000 constant 1 0 0 4870.33
20000000 constant 1 0 0 4927.07
20000000 constant 1 0 0 4793.7
20000000 constant 1 0 0 4925.67
20000000 constant 1 0 0 4764.4
20000000 constant 1 0 0 4907.38
20000000 constant 1 0 0 4854.5
20000000 constant 1 0 0 4959.2
20000000 constant 1 0 0 4942.26
20000000 constant 1 0 0 4905.61
20000000 constant 1 0 0 4947.72
20000000 constant 1 0 0 4600.57
20000000 constant 1 0 0 4636.91
20000000 constant 1 0 0 4890.36
20000000 constant 1 0 0 4848.63
20000000 constant 1 0 0 4384.59
20000000 constant 1 0 0 5003.81
40000000 constant 1 0 0 11324
40000000 constant 1 0 0 11256.8
40000000 constant 1 0 0 11715.7
40000000 constant 1 0 0 11594.1
40000000 constant 1 0 0 11297.1
40000000 constant 1 0 0 11165.2
40000000 constant 1 0 0 11267.1
40000000 constant 1 0 0 11304.4
40000000 constant 1 0 0 11561
40000000 constant 1 0 0 11590.5
40000000 constant 1 0 0 11193.8
40000000 constant 1 0 0 11352.8
40000000 constant 1 0 0 11493.7
40000000 constant 1 0 0 11532.9
40000000 constant 1 0 0 11746.2
40000000 constant 1 0 0 11473.8
40000000 constant 1 0 0 11339.7
40000000 constant 1 0 0 11255.9
40000000 constant 1 0 0 10957.6
40000000 constant 1 0 0 11452.8
40000000 constant 1 0 0 11436.5
40000000 constant 1 0 0 11711.3
40000000 constant 1 0 0 11279.6
40000000 constant 1 0 0 11292
40000000 constant 1 0 0 11580.5
40000000 constant 1 0 0 11774.6
40000000 constant 1 0 0 11724.1
40000000 constant 1 0 0 11613
40000000 constant 1 0 0 11489.3
40000000 constant 1 0 0 11505.2
80000000 constant 1 0 0 38203.7
80000000 constant 1 0 0 39212.9
80000000 constant 1 0 0 37559.3
80000000 constant 1 0 0 37853.6
80000000 constant 1 0 0 37831.3
80000000 constant 1 0 0 38108.5
80000000 constant 1 0 0 38684.3
80000000 constant 1 0 0 37679.8
80000000 constant 1 0 0 38085.6
80000000 constant 1 0 0 37993.1
80000000 constant 1 0 0 38247.6
80000000 constant 1 0 0 38030
80000000 constant 1 0 0 38360.5
80000000 constant 1 0 0 37873.5
80000000 constant 1 0 0 43302.2
80000000 constant 1 0 0 38489.5
80000000 constant 1 0 0 37738.4
80000000 constant 1 0 0 38474.5
80000000 constant 1 0 0 38255.9
80000000 constant 1 0 0 38734.5
